epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.9594,2.74198,5.85183,1.83237,2e-05,0.00427,0,0,2.55972,5.14393,1.7209,0.00013,0.00013,0.00013
2,45.5433,1.98235,4.35278,1.25815,0.00555,0.28404,0.02231,0.00628,2.25944,4.68469,1.4733,0.000264654,0.000264654,0.000264654
3,68.2332,1.82709,3.18849,1.22051,0.0025,0.43508,0.07492,0.01611,2.06559,4.36999,1.43877,0.000393764,0.000393764,0.000393764
4,90.7394,1.68641,2.57167,1.1826,0.00285,0.49551,0.13901,0.03611,2.12728,4.1821,1.53178,0.00051733,0.00051733,0.00051733
5,113.068,1.7286,2.26018,1.19991,0.00135,0.26044,0.10816,0.02768,2.35289,4.35479,1.83902,0.000635352,0.000635352,0.000635352
6,136.303,1.68404,2.02385,1.18808,0.48423,0.46449,0.45774,0.15579,2.05354,3.62225,1.70275,0.00074783,0.00074783,0.00074783
7,159.47,1.65967,1.8514,1.17388,0.86405,0.39642,0.57205,0.2162,2.09293,3.10581,1.71538,0.000854764,0.000854764,0.000854764
8,182.666,1.61833,1.74888,1.18572,0.6216,0.43459,0.48945,0.14062,2.30532,2.94699,1.94089,0.0008614,0.0008614,0.0008614
9,206.255,1.63693,1.6644,1.17785,0.60586,0.46117,0.54188,0.20799,2.06263,2.91305,1.70848,0.0008416,0.0008416,0.0008416
10,229.501,1.60432,1.60775,1.16462,0.57498,0.46231,0.53348,0.2099,2.12979,2.77757,1.79995,0.0008218,0.0008218,0.0008218
11,252.803,1.65302,1.58781,1.21346,0.75899,0.47265,0.59798,0.21531,2.21422,2.66847,1.92341,0.000802,0.000802,0.000802
12,276.275,1.61177,1.49875,1.19481,0.73312,0.60802,0.68441,0.226,2.2593,2.37611,1.92121,0.0007822,0.0007822,0.0007822
13,299.666,1.58125,1.3629,1.137,0.70518,0.6092,0.66811,0.21156,2.34913,2.45814,1.94746,0.0007624,0.0007624,0.0007624
14,323.186,1.55138,1.38557,1.16102,0.73162,0.56911,0.61231,0.18554,2.32639,2.47713,1.89731,0.0007426,0.0007426,0.0007426
15,346.855,1.49648,1.31251,1.12927,0.75066,0.54938,0.60585,0.1965,2.24839,2.3053,1.8412,0.0007228,0.0007228,0.0007228
16,370.056,1.50435,1.28405,1.11939,0.72583,0.55919,0.64269,0.20505,2.26003,2.28842,1.89559,0.000703,0.000703,0.000703
17,393.272,1.50043,1.21604,1.11969,0.77969,0.59356,0.62297,0.21639,2.23833,2.19876,1.92395,0.0006832,0.0006832,0.0006832
18,416.345,1.52217,1.23661,1.15456,0.71954,0.53048,0.59249,0.18999,2.24127,2.491,1.8336,0.0006634,0.0006634,0.0006634
19,439.459,1.4702,1.19495,1.12725,0.73967,0.53271,0.56611,0.19789,2.18605,2.46127,1.76916,0.0006436,0.0006436,0.0006436
20,462.953,1.44478,1.14425,1.11205,0.77908,0.55293,0.61967,0.21035,2.26612,2.20577,1.87968,0.0006238,0.0006238,0.0006238
21,486.013,1.4259,1.13433,1.13235,0.81511,0.66922,0.71589,0.24913,2.23665,1.90364,1.85012,0.000604,0.000604,0.000604
22,509.269,1.41584,1.08226,1.10017,0.73329,0.66222,0.6655,0.22987,2.22848,2.01864,1.91979,0.0005842,0.0005842,0.0005842
23,532.603,1.45165,1.08773,1.12658,0.72842,0.64595,0.66115,0.22678,2.16942,1.98189,1.86758,0.0005644,0.0005644,0.0005644
24,556.067,1.36958,1.02679,1.06808,0.81774,0.66128,0.72735,0.22854,2.21702,1.83541,1.90393,0.0005446,0.0005446,0.0005446
25,579.338,1.39007,1.03201,1.09992,0.79048,0.64482,0.68556,0.20001,2.3079,1.89723,2.00281,0.0005248,0.0005248,0.0005248
26,602.649,1.38807,1.01852,1.09708,0.78714,0.63538,0.64496,0.21076,2.21453,2.11686,1.87991,0.000505,0.000505,0.000505
27,625.995,1.38081,1.00804,1.08278,0.76743,0.66943,0.6838,0.20728,2.35535,1.91967,2.02031,0.0004852,0.0004852,0.0004852
28,649.561,1.37154,0.99896,1.0892,0.77949,0.66435,0.69392,0.21172,2.3534,1.84223,2.03746,0.0004654,0.0004654,0.0004654
29,673.247,1.3316,0.93672,1.07182,0.73363,0.67286,0.68491,0.20123,2.40652,1.90592,2.04781,0.0004456,0.0004456,0.0004456
30,696.826,1.39615,0.95928,1.10295,0.80352,0.61999,0.68023,0.23263,2.23525,1.80096,1.93204,0.0004258,0.0004258,0.0004258
31,720.616,1.33643,0.98148,1.07352,0.78277,0.61471,0.65585,0.19869,2.45583,1.85013,2.12066,0.000406,0.000406,0.000406
32,744.297,1.3657,0.95337,1.07749,0.8116,0.71244,0.74431,0.26356,2.22545,1.64669,1.95233,0.0003862,0.0003862,0.0003862
33,769.18,1.30484,0.96209,1.04855,0.77716,0.67964,0.68086,0.21417,2.39087,1.75179,2.09285,0.0003664,0.0003664,0.0003664
34,796.87,1.38089,0.94865,1.05769,0.7696,0.64508,0.70312,0.22333,2.30549,1.77804,2.02621,0.0003466,0.0003466,0.0003466
35,823.543,1.31435,0.94881,1.0644,0.71569,0.66717,0.68545,0.21958,2.32459,1.83013,2.03662,0.0003268,0.0003268,0.0003268
36,850.374,1.26333,0.90724,1.04804,0.78139,0.63726,0.67622,0.21003,2.34507,1.91079,2.04481,0.000307,0.000307,0.000307
37,877.022,1.24659,0.88603,1.04361,0.7607,0.66051,0.68431,0.21731,2.36389,1.81241,2.07753,0.0002872,0.0002872,0.0002872
38,904.381,1.24261,0.89656,1.04538,0.70021,0.67049,0.67583,0.20425,2.47653,1.84585,2.21062,0.0002674,0.0002674,0.0002674
39,927.925,1.25216,0.89058,1.04352,0.8024,0.61827,0.69065,0.20635,2.41515,1.88471,2.08832,0.0002476,0.0002476,0.0002476
40,950.977,1.23335,0.84606,1.0165,0.73187,0.67215,0.67991,0.2108,2.45465,1.68701,2.17267,0.0002278,0.0002278,0.0002278
41,973.745,1.20109,0.97869,1.05441,0.77778,0.66804,0.70283,0.22599,2.34984,1.66961,2.10754,0.000208,0.000208,0.000208
42,996.409,1.18676,0.9663,1.05307,0.72261,0.65406,0.70277,0.2309,2.26476,1.78806,2.03749,0.0001882,0.0001882,0.0001882
43,1019.08,1.19463,0.94222,1.03459,0.74201,0.67364,0.72046,0.22624,2.28061,1.7705,2.08407,0.0001684,0.0001684,0.0001684
44,1041.83,1.19465,0.9116,1.08748,0.79964,0.64493,0.72345,0.23101,2.25565,1.68621,2.00725,0.0001486,0.0001486,0.0001486
45,1064.51,1.12627,0.89498,1.03318,0.82589,0.65794,0.74088,0.23072,2.29509,1.66436,2.03954,0.0001288,0.0001288,0.0001288
46,1087.01,1.11814,0.87011,1.03988,0.8513,0.64807,0.7468,0.24341,2.27878,1.65816,1.99758,0.000109,0.000109,0.000109
47,1109.49,1.135,0.88433,1.04022,0.8797,0.62541,0.7448,0.24333,2.294,1.6578,2.02748,8.92e-05,8.92e-05,8.92e-05
48,1132.01,1.10829,0.86201,1.01725,0.82688,0.65594,0.73231,0.23811,2.32482,1.65834,2.06255,6.94e-05,6.94e-05,6.94e-05
49,1154.55,1.10322,0.86835,1.0251,0.86241,0.62819,0.72899,0.23274,2.33327,1.6595,2.07335,4.96e-05,4.96e-05,4.96e-05
50,1177.22,1.06726,0.84821,1.0127,0.75647,0.68371,0.72724,0.23067,2.32868,1.65722,2.07426,2.98e-05,2.98e-05,2.98e-05
